RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2254,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
1738,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2645,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2154,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2271,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2553,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3262,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2858,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2569,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2174,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2196,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4098,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2888,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2066,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2013,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2272,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2401,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2168,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2566,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2220,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4821,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3071,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4855,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2705,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3829,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2555,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3153,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2737,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4031,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4122,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3386,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3812,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3463,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2555,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2387,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3105,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2687,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2337,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3263,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
1887,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2730,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
file,isFamiliar,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_nigel_farage(5).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_F_Julie_Walters(20).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_F_Dawn_Roma(4).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_keir_starmer(6).png,0,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Michael_McIntyr(8).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_F_Jennifer_Saunders.png,0,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_Michael_Gove(9).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_jeremy_corbyn(2).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_Tony_Blair.png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_F_Theresa_May(3).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_david_camer(14).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_Gordon_Brown(19).png,0,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Russell_Howard(10).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Ewan_McGregor(3).png,0,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Jimmy_Carr(5).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Simon_Pegg(8).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_F_Sarah_Millican(1).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
E_M_Peter_Kay(3).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_M_Sajid_Javid(4).png,0,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
P_F_nicola_sturge(10).png,1,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
age: 25,gender: Female,handedness: right,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
