RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3991,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3169,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3068,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2787,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3047,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4800,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
8211,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
5158,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2292,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4045,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
