RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6496,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5360,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6638,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6497,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7468,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
13562,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7249,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5511,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3512,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3263,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
