RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
5016,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2374,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2114,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4939,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
5265,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3082,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3622,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1765,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3291,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2953,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1843,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1933,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2586,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2902,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2273,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1946,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2014,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1602,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2175,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1573,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1427,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1749,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2041,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1912,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2527,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2346,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1715,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2173,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1748,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1706,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2788,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2231,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4758,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2397,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1747,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1603,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1674,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1968,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2377,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1661,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1742,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2486,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2097,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
