RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
33759,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3597,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
6016,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3171,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5930,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4068,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4463,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3332,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5459,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4863,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5576,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4286,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2988,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2530,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3604,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
