RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3906,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2744,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2447,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3089,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2352,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2830,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2126,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2207,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3265,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3364,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3907,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2354,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3930,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3251,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2494,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3857,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4086,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2129,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5348,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2198,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2331,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3267,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2376,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2420,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2221,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2834,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2305,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2237,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5031,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3056,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2324,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3476,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4291,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2852,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
