RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4021,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4466,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8893,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
15156,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4709,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7700,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5640,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6967,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
15165,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7831,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6413,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5802,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
