RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5225,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
10408,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
13694,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4003,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
7016,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3499,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
27877,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
10647,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
10053,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
11226,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
9903,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2237,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
37992,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3777,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4174,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
82351,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
