RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3424,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3645,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3423,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2285,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
10629,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1664,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
file,isFamiliar,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_Sajid_Javid(4).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_F_Theresa_May(3).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_F_Jennifer_Saunders.png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_F_nicola_sturge(10).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_F_Sarah_Millican(1).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Michael_McIntyr(8).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Jimmy_Carr(5).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_jeremy_corbyn(2).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Ewan_McGregor(3).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_nigel_farage(5).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_Tony_Blair.png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_david_camer(14).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_Gordon_Brown(19).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_Michael_Gove(9).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_F_Julie_Walters(20).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Russell_Howard(10).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Simon_Pegg(8).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_M_Peter_Kay(3).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
E_F_Dawn_Roma(4).png,1,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
P_M_keir_starmer(6).png,0,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
age: 32,gender: Female,handedness: right,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
