RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1208,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1824,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2023,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1562,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1508,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1206,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1409,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1044,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1528,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
16787,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1553,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2171,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1525,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1483,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
8933,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
8692,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
