RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4079,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4384,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
5732,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4113,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4242,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
6425,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4399,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
5865,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4253,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2123,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2186,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
