RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5066,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3676,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
6113,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4556,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3566,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
7267,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3729,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3314,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4706,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3714,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3816,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4050,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3134,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4309,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3016,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3185,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3578,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5845,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2924,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
