RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
15417,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4190,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4225,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3764,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
17204,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
8817,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4229,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3064,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3928,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3950,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3249,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3530,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
7252,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2998,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
24282,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4951,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5700,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4394,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2891,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3703,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3450,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4091,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3151,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4384,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
