RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4552,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3482,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3306,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3775,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2808,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4517,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
9797,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4532,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3235,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3911,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
12382,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
6081,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
10988,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
12766,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
18469,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
7456,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5766,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5622,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2594,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3426,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
