RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3441,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
14658,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4300,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
6176,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
17482,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4114,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3797,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
10681,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4475,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3536,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4276,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
5144,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4532,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4997,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4967,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3881,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
9292,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2878,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3282,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3017,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2837,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3065,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2963,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3786,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2277,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2836,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
1945,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3259,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2016,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4087,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2431,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3201,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3607,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2856,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3250,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3120,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2659,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3055,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4137,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2667,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2457,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4076,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3041,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2864,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4495,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3091,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
5149,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2926,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3397,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2032,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2014,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3215,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2611,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2048,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2105,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2521,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3091,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2090,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2558,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2717,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
