RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3434,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2175,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1815,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
8319,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7799,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2142,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3407,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1951,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1815,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1671,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1903,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7223,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3103,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5671,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
8063,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3751,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3720,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6255,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2135,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
8231,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2207,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3111,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3759,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7303,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4991,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2519,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
12511,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2575,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7750,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
