RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4366,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2034,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2286,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1788,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1995,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2487,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2397,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2346,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2020,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3738,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2461,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1401,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2588,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4206,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2114,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1747,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4320,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1778,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1820,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3894,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2547,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1903,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2012,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3548,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1772,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2365,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3470,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2568,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1640,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3222,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1523,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
