RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2781,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4652,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2120,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3484,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2211,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2300,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3264,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2408,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4461,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3941,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
7041,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4149,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2438,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1978,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
