RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1970,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1853,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1500,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2097,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1812,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1922,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1736,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4393,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3068,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3224,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2146,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2212,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1770,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2104,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1749,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2407,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1689,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1885,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1683,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2365,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1966,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1754,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1648,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3011,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1807,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1598,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3313,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1961,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1656,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1696,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1657,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2986,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1533,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3038,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2186,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2632,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2039,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1391,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1548,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1510,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1526,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1930,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1726,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1536,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1616,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2814,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1986,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1885,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1493,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2108,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2351,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1606,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1358,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1676,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1366,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1806,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
file,isFamiliar,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_Gordon_Brown(19).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_F_nicola_sturge(10).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_keir_starmer(6).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Peter_Kay(3).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Russell_Howard(10).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_F_Julie_Walters(20).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_F_Sarah_Millican(1).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Jimmy_Carr(5).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_Sajid_Javid(4).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Michael_McIntyr(8).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Ewan_McGregor(3).png,0,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_F_Theresa_May(3).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_Tony_Blair.png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_nigel_farage(5).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_Michael_Gove(9).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_david_camer(14).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_M_Simon_Pegg(8).png,0,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_F_Jennifer_Saunders.png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
P_M_jeremy_corbyn(2).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
E_F_Dawn_Roma(4).png,1,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
age: 29,gender: Female,handedness: left,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
