RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4997,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
6179,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5432,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3564,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3222,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5519,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2668,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4586,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
6929,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3816,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2468,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3317,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2547,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3240,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2287,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2732,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3930,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3958,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3185,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3163,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3075,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5611,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3213,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3222,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2748,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2780,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2875,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3098,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4731,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5547,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2786,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4753,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
6164,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2479,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
1915,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3432,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2552,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3813,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2881,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2256,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
