RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2142,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4910,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
7479,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4687,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5606,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1447,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3180,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5942,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2295,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4503,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1687,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3070,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2295,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3742,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6198,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
7407,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2720,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2310,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2431,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4014,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2720,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3158,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2298,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4543,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2054,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
12007,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3831,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2126,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2326,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2763,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4415,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2476,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1877,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4103,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4863,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3382,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1567,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2458,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5903,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1640,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2438,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
