RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2966,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6903,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4158,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3844,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3437,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4839,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1935,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
7344,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
11759,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2935,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1630,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2703,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2023,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3774,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3143,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
8878,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6431,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5771,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6741,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3350,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
10455,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2054,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4054,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2120,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1394,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5158,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
