RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2373,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4777,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2651,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3651,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3396,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3629,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2250,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2779,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2457,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3644,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
5442,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2978,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3058,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
4929,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2728,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2889,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
9055,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
