RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3862,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2919,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2752,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3342,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2056,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2194,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3703,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3391,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2360,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2672,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2103,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2807,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2343,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2278,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2463,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3424,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2174,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2057,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3446,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2424,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3647,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2264,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2431,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2895,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2648,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2863,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3462,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2760,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3312,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2646,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4593,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1965,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
8138,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3246,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3718,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2912,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2518,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2576,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1687,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2974,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2661,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3551,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2429,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2512,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2087,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2128,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2727,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2543,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2568,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2263,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2280,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2583,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1800,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1582,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1854,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3440,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3024,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3088,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3286,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3070,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3031,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2401,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3503,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2302,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2496,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2007,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2462,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3505,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2053,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
