RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2896,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2439,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2351,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
7519,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1929,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2669,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2486,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
26225,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2094,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2836,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4312,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4110,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
10937,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
6440,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
