RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2374,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3448,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1933,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2401,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2495,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2459,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2071,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2355,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2030,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4381,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4177,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2247,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1994,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2268,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3239,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2969,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2605,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1929,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2791,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3110,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2097,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2755,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1866,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1817,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2159,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2624,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2401,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2017,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2204,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3251,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2090,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2370,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3346,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2173,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1800,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1812,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1768,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2403,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2094,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2160,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3385,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2034,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2474,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2833,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1950,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2459,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2414,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2052,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2605,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2152,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1928,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1908,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3898,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2963,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2539,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2526,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2578,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1960,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2282,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1978,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1783,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2800,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2265,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
file,isFamiliar,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_jeremy_corbyn.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_F_Julie_Walters.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Ewan_McGregor.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Russell_Howard.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_keir_starmer.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_F_nicola_sturge.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_Michael_Gove.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_F_Theresa_May.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Peter_Kay.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_F_Dawn_Roma_French.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_F_Sarah_Millican.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_nigel_farage.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_F_Jennifer_Saunders.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Jimmy_Carr.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_Sajid_Javid.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Simon_Pegg.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_Gordon_Brown.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
E_M_Michael_McIntyr.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_Tony_Blair.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
P_M_david_camer.png,1,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
age: 34,gender: Male,handedness: right,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
