RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2350,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2093,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3081,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2542,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2210,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2841,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3848,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2414,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3351,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2825,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2177,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2928,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2463,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2394,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2388,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2768,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3241,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2158,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2248,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3241,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2448,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2890,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2365,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2488,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3355,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1966,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3775,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2478,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2822,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2043,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
