RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2828,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4896,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2465,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4457,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2367,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2657,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4222,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4047,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2677,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2810,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3667,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3800,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5178,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
7424,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
