"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","normlised_keyPress","age","gender","handedness","participant","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
10061,"E_F_ilanit.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_F_ilanit.png P_M_smut.png"
5481,"E_F_galit_gutman.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5",-0.68770252741767,"23","F","right","30115",0,1,0,0,TRUE,"E_F_galit_gutman.png P_M_gantz.png"
5312,"E_F_ilanit.png","E_M_danker.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_F_ilanit.png E_M_danker.png"
5215,"E_M_liorA.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",-0.68770252741767,"23","F","right","30115",1,1,0,0,FALSE,"E_M_liorA.png P_M_benet.png"
6914,"P_F_regev.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","5",-0.68770252741767,"23","F","right","30115",1,1,0,0,FALSE,"P_F_regev.png P_M_smut.png"
7557,"E_F_rotem_sela.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_F_rotem_sela.png E_M_asi.png"
4929,"E_M_danker.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_M_danker.png P_M_gantz.png"
8658,"P_F_regev.png","P_F_shaked.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","4",-1.90885654806587,"23","F","right","30115",1,1,0,0,FALSE,"P_F_regev.png P_F_shaked.png"
4773,"E_M_yuda.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",-0.68770252741767,"23","F","right","30115",1,1,0,0,FALSE,"E_M_yuda.png P_M_smut.png"
3447,"E_F_shiri.png","E_M_danker.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_F_shiri.png E_M_danker.png"
1968,"E_M_danker.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_M_danker.png P_M_benet.png"
2238,"E_M_liorA.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_M_liorA.png P_F_shaked.png"
7804,"P_M_lapid.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"P_M_buji.png P_M_lapid.png"
4484,"E_M_danker.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5",-0.68770252741767,"23","F","right","30115",1,1,0,0,FALSE,"E_M_danker.png P_F_michaeli.png"
4886,"P_F_regev.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"P_F_regev.png P_M_buji.png"
2397,"E_F_ninet.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","4",-1.90885654806587,"23","F","right","30115",1,1,0,0,FALSE,"E_F_ninet.png P_F_regev.png"
8223,"E_F_ninet.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6",0.533451493230528,"23","F","right","30115",1,1,0,0,FALSE,"E_F_ninet.png E_M_yuda.png"
