"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","normlised_keyPress","age","gender","handedness","participant","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
6761,"E_M_liorA.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","3",-1.25113002798432,"23","F","right","8920",1,1,2,1,FALSE,"E_M_liorA.png P_F_regev.png"
4980,"P_F_regev.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","6",1.07940629865314,"23","F","right","8920",1,1,1,2,FALSE,"P_F_regev.png P_F_staiv.png"
5142,"P_F_michaeli.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3",-1.25113002798432,"23","F","right","8920",1,1,2,3,FALSE,"P_F_michaeli.png P_M_saar.png"
5728,"E_F_rotem_sela.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4",-0.474284585771834,"23","F","right","8920",1,1,1,1,FALSE,"E_F_rotem_sela.png E_M_asi.png"
7396,"E_F_ilanit.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4",-0.474284585771834,"23","F","right","8920",1,1,1,2,FALSE,"E_F_ilanit.png E_M_ido.png"
4150,"E_M_ido.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","2",-2.02797547019681,"23","F","right","8920",1,1,2,1,FALSE,"E_M_ido.png E_M_yuda.png"
6363,"E_F_ninet.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5",0.302560856440653,"23","F","right","8920",1,1,2,1,FALSE,"E_F_ninet.png P_M_benet.png"
4685,"E_F_rotem_sela.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","3",-1.25113002798432,"23","F","right","8920",1,1,1,1,FALSE,"E_F_rotem_sela.png P_F_shaked.png"
5621,"P_M_gantz.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","4",-0.474284585771834,"23","F","right","8920",1,1,1,2,FALSE,"P_M_buji.png P_M_gantz.png"
3953,"E_F_ilanit.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6",1.07940629865314,"23","F","right","8920",1,1,1,2,FALSE,"E_F_ilanit.png P_M_buji.png"
6987,"E_F_ninet.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5",0.302560856440653,"23","F","right","8920",1,1,2,1,FALSE,"E_F_ninet.png E_M_asi.png"
4693,"E_F_shiri.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6",1.07940629865314,"23","F","right","8920",1,1,1,1,FALSE,"E_F_shiri.png P_M_benet.png"
3182,"E_F_galit_gutman.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6",1.07940629865314,"23","F","right","8920",1,1,3,1,FALSE,"E_F_galit_gutman.png P_F_regev.png"
6112,"E_M_liorA.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4",-0.474284585771834,"23","F","right","8920",1,1,2,3,FALSE,"E_M_liorA.png P_M_saar.png"
4396,"E_M_liorA.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","3",-1.25113002798432,"23","F","right","8920",1,1,2,1,FALSE,"E_M_liorA.png E_M_yuda.png"
