"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","normlised_keyPress","age","gender","handedness","participant","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
24363,"P_M_lapid.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2",-1.28119209308346,"22","F","right","30214",1,1,0,0,FALSE,"P_M_benet.png P_M_lapid.png"
16332,"E_M_liorA.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","4",-0.00336270890573074,"22","F","right","30214",1,1,0,0,FALSE,"E_M_liorA.png E_M_yuda.png"
17674,"E_F_rotem_sela.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_rotem_sela.png P_M_smut.png"
20781,"E_M_ido.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_M_ido.png P_M_buji.png"
5212,"E_M_danker.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6",1.274466675272,"22","F","right","30214",1,1,0,0,FALSE,"E_M_danker.png P_M_benet.png"
12005,"P_M_lapid.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2",-1.28119209308346,"22","F","right","30214",1,1,0,0,FALSE,"P_M_lapid.png P_M_smut.png"
15376,"E_F_rotem_sela.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_rotem_sela.png P_M_gantz.png"
6891,"E_M_danker.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_M_danker.png P_M_lapid.png"
14267,"E_F_ninet.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_ninet.png P_F_regev.png"
4824,"E_F_shiri.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6",1.274466675272,"22","F","right","30214",1,1,0,0,FALSE,"E_F_shiri.png P_M_gantz.png"
26309,"E_F_ilanit.png","E_F_ninet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_ilanit.png E_F_ninet.png"
15214,"E_F_shiri.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4",-0.00336270890573074,"22","F","right","30214",1,1,0,0,FALSE,"E_F_shiri.png E_M_asi.png"
8721,"P_F_regev.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","3",-0.642277400994596,"22","F","right","30214",1,1,0,0,FALSE,"P_F_regev.png P_F_staiv.png"
7619,"P_M_gantz.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","2",-1.28119209308346,"22","F","right","30214",1,1,0,0,FALSE,"P_M_buji.png P_M_gantz.png"
7463,"E_F_shiri.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_shiri.png P_F_regev.png"
2406,"E_F_shiri.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6",1.274466675272,"22","F","right","30214",1,1,0,0,FALSE,"E_F_shiri.png P_M_smut.png"
7330,"E_F_ilanit.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_F_ilanit.png P_M_saar.png"
16626,"E_F_galit_gutman.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","2",-1.28119209308346,"22","F","right","30214",1,1,0,0,FALSE,"E_F_galit_gutman.png P_M_lapid.png"
6927,"E_M_liorA.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6",1.274466675272,"22","F","right","30214",1,1,0,0,FALSE,"E_M_liorA.png P_F_staiv.png"
25511,"E_F_ilanit.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","4",-0.00336270890573074,"22","F","right","30214",1,1,0,0,FALSE,"E_F_ilanit.png E_M_ido.png"
6421,"P_F_staiv.png","P_M_lapid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3",-0.642277400994596,"22","F","right","30214",1,1,0,0,FALSE,"P_F_staiv.png P_M_lapid.png"
2174,"P_F_regev.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3",-0.642277400994596,"22","F","right","30214",1,1,0,0,FALSE,"P_F_regev.png P_M_saar.png"
10122,"E_M_danker.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_M_danker.png P_F_michaeli.png"
4438,"P_M_lapid.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","3",-0.642277400994596,"22","F","right","30214",1,1,0,0,FALSE,"P_M_buji.png P_M_lapid.png"
7635,"P_F_michaeli.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","4",-0.00336270890573074,"22","F","right","30214",1,1,0,0,FALSE,"P_F_michaeli.png P_M_saar.png"
4723,"P_F_michaeli.png","P_M_lapid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"P_F_michaeli.png P_M_lapid.png"
33915,"E_M_liorA.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,TRUE,"E_M_liorA.png P_M_gantz.png"
3581,"E_F_galit_gutman.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","3",-0.642277400994596,"22","F","right","30214",1,1,0,0,FALSE,"E_F_galit_gutman.png E_M_asi.png"
3559,"E_M_yuda.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6",1.274466675272,"22","F","right","30214",1,1,0,0,FALSE,"E_M_yuda.png P_F_michaeli.png"
5781,"E_M_asi.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5",0.635551983183134,"22","F","right","30214",1,1,0,0,FALSE,"E_M_asi.png P_M_gantz.png"
