"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"1866","P_M_saar.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"P_M_saar.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"4779","E_F_shiri.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"E_F_shiri.png E_M_ido.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2026","E_F_ninet.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"E_F_ninet.png E_M_ido.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2177","E_F_shiri.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"E_F_shiri.png P_F_regev.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2796","E_M_asi.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",4,"E_M_asi.png E_M_ido.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2795","E_M_ido.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_ido.png P_M_buji.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"106804","E_F_galit_gutman.png","E_M_danker.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"E_F_galit_gutman.png E_M_danker.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1197","E_F_ninet.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_ninet.png P_F_staiv.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"4146","E_M_liorA.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_liorA.png P_F_regev.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"3239","P_F_michaeli.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"P_F_michaeli.png P_M_smut.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2044","E_F_shiri.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_shiri.png P_F_staiv.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2298","E_M_ido.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_ido.png P_F_regev.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2047","E_F_shiri.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_saar.png",1.78495667735563,"25","Female","right","5e36f7aacb3c09689999f612"
"2248","E_F_ninet.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_ninet.png P_F_michaeli.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
