"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"24363","P_M_lapid.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"P_M_lapid.png P_M_benet.png",-1.28119209308346,"22","F","right","30214"
"16332","E_M_liorA.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",4,"E_M_liorA.png E_M_yuda.png",-0.00336270890573074,"22","F","right","30214"
"17674","E_F_rotem_sela.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_rotem_sela.png P_M_smut.png",0.635551983183134,"22","F","right","30214"
"20781","E_M_ido.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_ido.png P_M_buji.png",0.635551983183134,"22","F","right","30214"
"5212","E_M_danker.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_danker.png P_M_benet.png",1.274466675272,"22","F","right","30214"
"12005","P_M_lapid.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"P_M_lapid.png P_M_smut.png",-1.28119209308346,"22","F","right","30214"
"15376","E_F_rotem_sela.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_rotem_sela.png P_M_gantz.png",0.635551983183134,"22","F","right","30214"
"6891","E_M_danker.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_danker.png P_M_lapid.png",0.635551983183134,"22","F","right","30214"
"14267","E_F_ninet.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_ninet.png P_F_regev.png",0.635551983183134,"22","F","right","30214"
"4824","E_F_shiri.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_gantz.png",1.274466675272,"22","F","right","30214"
"26309","E_F_ilanit.png","E_F_ninet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",5,"E_F_ilanit.png E_F_ninet.png",0.635551983183134,"22","F","right","30214"
"15214","E_F_shiri.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_shiri.png E_M_asi.png",-0.00336270890573074,"22","F","right","30214"
"8721","P_F_regev.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",3,"P_F_regev.png P_F_staiv.png",-0.642277400994596,"22","F","right","30214"
"7619","P_M_gantz.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"P_M_gantz.png P_M_buji.png",-1.28119209308346,"22","F","right","30214"
"7463","E_F_shiri.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_shiri.png P_F_regev.png",0.635551983183134,"22","F","right","30214"
"2406","E_F_shiri.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_smut.png",1.274466675272,"22","F","right","30214"
"7330","E_F_ilanit.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_ilanit.png P_M_saar.png",0.635551983183134,"22","F","right","30214"
"16626","E_F_galit_gutman.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",2,"E_F_galit_gutman.png P_M_lapid.png",-1.28119209308346,"22","F","right","30214"
"6927","E_M_liorA.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_liorA.png P_F_staiv.png",1.274466675272,"22","F","right","30214"
"25511","E_F_ilanit.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_ilanit.png E_M_ido.png",-0.00336270890573074,"22","F","right","30214"
"6421","P_F_staiv.png","P_M_lapid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_staiv.png P_M_lapid.png",-0.642277400994596,"22","F","right","30214"
"2174","P_F_regev.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_regev.png P_M_saar.png",-0.642277400994596,"22","F","right","30214"
"10122","E_M_danker.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_danker.png P_F_michaeli.png",0.635551983183134,"22","F","right","30214"
"4438","P_M_lapid.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"P_M_lapid.png P_M_buji.png",-0.642277400994596,"22","F","right","30214"
"7635","P_F_michaeli.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",4,"P_F_michaeli.png P_M_saar.png",-0.00336270890573074,"22","F","right","30214"
"4723","P_F_michaeli.png","P_M_lapid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_michaeli.png P_M_lapid.png",0.635551983183134,"22","F","right","30214"
"33915","E_M_liorA.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_liorA.png P_M_gantz.png",0.635551983183134,"22","F","right","30214"
"3581","E_F_galit_gutman.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_galit_gutman.png E_M_asi.png",-0.642277400994596,"22","F","right","30214"
"3559","E_M_yuda.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_yuda.png P_F_michaeli.png",1.274466675272,"22","F","right","30214"
"5781","E_M_asi.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_asi.png P_M_gantz.png",0.635551983183134,"22","F","right","30214"
"3884","E_M_asi.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_asi.png P_F_regev.png",0.635551983183134,"22","F","right","30214"
"3175","E_M_yuda.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_yuda.png P_M_smut.png",1.274466675272,"22","F","right","30214"
"4551","E_F_galit_gutman.png","E_F_ninet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",4,"E_F_galit_gutman.png E_F_ninet.png",-0.00336270890573074,"22","F","right","30214"
"5072","E_M_liorA.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_liorA.png P_M_smut.png",0.635551983183134,"22","F","right","30214"
"4614","P_M_benet.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"P_M_benet.png P_M_buji.png",-0.642277400994596,"22","F","right","30214"
"4186","E_F_rotem_sela.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_rotem_sela.png P_M_buji.png",1.274466675272,"22","F","right","30214"
"6993","P_F_michaeli.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",2,"P_F_michaeli.png P_F_staiv.png",-1.28119209308346,"22","F","right","30214"
"5877","E_F_ilanit.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_ilanit.png P_M_gantz.png",0.635551983183134,"22","F","right","30214"
"3447","E_F_shiri.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_shiri.png E_M_yuda.png",-0.642277400994596,"22","F","right","30214"
"5964","P_F_regev.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_regev.png P_M_benet.png",-0.642277400994596,"22","F","right","30214"
"2625","P_F_staiv.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_staiv.png P_M_saar.png",-0.642277400994596,"22","F","right","30214"
"6134","E_F_rotem_sela.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_rotem_sela.png P_F_staiv.png",1.274466675272,"22","F","right","30214"
"3241","E_F_galit_gutman.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_galit_gutman.png P_M_buji.png",1.274466675272,"22","F","right","30214"
"14064","E_M_ido.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_ido.png P_F_staiv.png",1.274466675272,"22","F","right","30214"
"6057","E_F_ninet.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_ninet.png P_M_lapid.png",0.635551983183134,"22","F","right","30214"
"2934","E_F_ilanit.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_ilanit.png P_M_smut.png",1.274466675272,"22","F","right","30214"
"3281","E_F_shiri.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_saar.png",1.274466675272,"22","F","right","30214"
"6269","E_F_galit_gutman.png","E_F_ilanit.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",1,"E_F_galit_gutman.png E_F_ilanit.png",-1.92010678517233,"22","F","right","30214"
"5113","E_F_rotem_sela.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_rotem_sela.png P_F_regev.png",1.274466675272,"22","F","right","30214"
"5462","E_M_asi.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_asi.png P_F_shaked.png",1.274466675272,"22","F","right","30214"
"6042","E_F_rotem_sela.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_rotem_sela.png P_M_lapid.png",0.635551983183134,"22","F","right","30214"
"7604","E_M_yuda.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_yuda.png P_M_buji.png",1.274466675272,"22","F","right","30214"
"3889","E_F_ninet.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_ninet.png P_F_michaeli.png",1.274466675272,"22","F","right","30214"
"7639","P_M_benet.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"P_M_benet.png P_M_saar.png",-1.28119209308346,"22","F","right","30214"
"8899","E_M_liorA.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_liorA.png P_F_michaeli.png",0.635551983183134,"22","F","right","30214"
"4508","P_F_michaeli.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_michaeli.png P_M_buji.png",-0.642277400994596,"22","F","right","30214"
"4411","E_M_danker.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_danker.png P_M_buji.png",1.274466675272,"22","F","right","30214"
"5167","E_F_rotem_sela.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_rotem_sela.png P_F_michaeli.png",0.635551983183134,"22","F","right","30214"
"14632","P_F_regev.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_regev.png P_M_smut.png",-0.642277400994596,"22","F","right","30214"
"7628","E_M_liorA.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_liorA.png P_M_benet.png",0.635551983183134,"22","F","right","30214"
