RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
7669,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3886,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
5973,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3047,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4071,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3740,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
7732,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
8205,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4002,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2029,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3371,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
