RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3232,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3700,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4440,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2283,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2351,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3229,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3093,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3021,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3216,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2379,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2514,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2669,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2500,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3289,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2387,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2393,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2120,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3390,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4498,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3764,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3219,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2704,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2302,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4145,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2974,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2684,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2830,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5979,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4983,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5079,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3516,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3096,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
5021,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3734,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2784,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3500,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2591,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3102,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2640,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2257,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2512,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2280,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3045,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3623,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3982,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3497,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2884,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2368,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2299,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2008,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2085,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2621,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2268,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2963,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3208,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3402,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2283,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2704,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3785,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2272,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
4782,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2502,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2480,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2961,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2564,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2698,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2657,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2221,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2063,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2626,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2191,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
3397,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2669,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2200,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
2313,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
file,isFamiliar,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_peretz.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_ornaBanai.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_HassonShaher.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_liberman2.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
E_katorza2-250x341.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
E_guri2-250x310.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_yanai.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_har_lev.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_zamir.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_shimi.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_rita.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_michaeliM.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_mushonov.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_yehimovitz.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_Ivri2.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Entertainment_shani.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_shaked.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_smootch.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_lapid.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
Politics_benet.jpg,0,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
age: 23,gender: Female,handedness: right,601c7497e9531b7b3a2a70b8,"06/19/2022, 14:45:04"
