RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2884,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2351,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2100,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1722,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2153,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2387,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2702,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3547,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1759,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1282,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
