RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1767,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1799,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1479,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1895,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2232,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1520,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1143,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1695,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
3479,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2015,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1728,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1974,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2975,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2800,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1727,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1071,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1608,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2312,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1207,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1207,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2589,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1747,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1622,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1751,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1007,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1561,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1775,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1503,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2075,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1303,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2448,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1103,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1238,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2508,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2958,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1496,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2086,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1470,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2774,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1745,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1873,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1136,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
977,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
839,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
820,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1793,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
3137,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
