RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6463,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4098,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
11810,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
9783,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
14557,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
7517,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
11029,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8664,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5850,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5500,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
11211,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
42727,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
7094,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5119,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4449,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4865,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
15692,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
14276,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3882,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
17023,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
23981,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4747,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5049,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
23818,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8157,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4735,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
