RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3844,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3888,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4531,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6462,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
47230,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
14867,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
15641,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5801,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2961,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5994,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
19996,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
22822,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
5165,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3395,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4379,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6447,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6315,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3649,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4907,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4850,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4349,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4152,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
35966,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6638,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
40542,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3434,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3293,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3409,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4641,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
