RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7118,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4339,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
8183,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
9913,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5217,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3703,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4590,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6465,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3244,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4084,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5436,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4643,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3753,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6174,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3849,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3388,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3229,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5752,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4887,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
12785,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5755,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
2632,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5915,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7453,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3691,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3279,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3680,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3862,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3329,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7136,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3930,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3877,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
2852,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3829,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3271,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3516,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3329,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3276,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3459,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4330,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3425,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3365,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3454,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3842,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4500,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4300,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3776,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3004,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3581,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4802,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3226,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7657,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4172,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3918,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
9251,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3469,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4543,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6737,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4906,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3783,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4664,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
9479,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4794,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4030,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
14253,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
12698,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4752,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
