RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
6084,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3486,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
6016,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
4511,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2631,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
6159,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3783,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3096,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2375,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3623,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2663,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2463,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
5647,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3943,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2238,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3528,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2039,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
1799,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2239,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3143,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2216,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2839,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2880,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
1918,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2694,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2095,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
4576,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
3455,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
2478,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
4287,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e8ee0a29422bb1a1eda548f,"08/07/2022, 18:25:32"
