RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
7898,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
10558,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
8757,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
6130,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2316,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2631,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2150,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
7317,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1344,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3331,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
812,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
735,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1160,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2155,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3362,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3692,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1836,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3121,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4383,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
17266,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1717,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1660,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1844,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1576,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1352,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3132,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2229,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1141,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1083,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1139,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
769,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
810,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
