RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
9454,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
8519,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3965,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
8058,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
5371,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3885,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3674,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3608,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4566,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4140,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4153,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3529,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4384,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
5373,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3129,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
5239,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3872,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3815,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4072,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3815,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3420,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3804,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3915,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3976,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3307,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3302,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4074,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3533,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2699,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2396,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2431,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3229,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3075,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3657,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3573,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2816,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4689,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3523,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2624,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3511,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2802,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2541,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3996,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3263,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4255,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3301,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4796,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2927,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3693,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
5351,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2724,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2705,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4844,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3257,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3488,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3221,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2336,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3211,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3140,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2396,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2808,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2625,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3807,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3119,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2539,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3572,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
3493,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
4582,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
2632,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1c531af6dc764c72547d9e,"06/19/2022, 14:40:38"
