RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4218,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
10562,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5137,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9357,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6457,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
8211,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3496,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2993,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3727,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5966,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2684,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9247,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9199,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2946,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3334,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9212,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6183,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3553,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5954,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3464,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5388,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
13452,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6354,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
12275,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4843,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
10816,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3951,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4003,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
20385,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3135,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3063,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2765,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
14426,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7454,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2831,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6815,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3552,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6010,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6384,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4194,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
11182,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3303,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3548,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3853,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3348,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5126,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2999,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3207,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2882,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
10312,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6882,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3351,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3796,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4602,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4001,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7324,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5426,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6288,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4239,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4797,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4202,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3252,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3582,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3100,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3437,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
2367,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4382,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4073,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5996,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6930,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
