RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4024,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9761,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4183,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3231,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
file,isFamiliar,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_zamir.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_rita.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_Ivri2.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_michaeliM.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_liberman2.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
E_katorza2-250x341.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_har_lev.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_smootch.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_ornaBanai.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_shani.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_HassonShaher.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_yanai.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_yehimovitz.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
E_guri2-250x310.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_mushonov.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_benet.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Entertainment_shimi.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_peretz.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_lapid.jpg,1,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
Politics_shaked.jpg,0,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
age: 23,gender: Male,handedness: right,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
