RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3201,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5526,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3566,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4518,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3058,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4360,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3470,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4257,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4627,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4684,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3191,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4293,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4096,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3253,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6131,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3367,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2849,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4080,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3035,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3500,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
