RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4490,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2984,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2835,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3315,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3272,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3099,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3522,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3511,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3356,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2921,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3114,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3455,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3242,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4173,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3636,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3162,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2708,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5150,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3281,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4845,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6296,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3263,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2677,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2493,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3559,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2787,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3456,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2678,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2716,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2917,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3176,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3213,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4601,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3910,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4418,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3657,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3115,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3748,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3207,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3552,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4399,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3526,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4282,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4541,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
16997,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2969,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6481,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3421,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3211,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4504,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
file,isFamiliar,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
E_guri2-250x310.jpg,0,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
Politics_shaked.jpg,0,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
