RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
4885,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3798,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
4163,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3423,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
6181,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3301,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3262,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
4151,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
2958,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
5293,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3281,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
5424,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
4481,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
3622,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
4074,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60eacff7b678411f44e11a12,"08/07/2022, 18:27:52"
