RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2530,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3261,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2772,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1974,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2001,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1838,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2717,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2148,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1451,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3039,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2672,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1656,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2040,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2696,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1605,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2255,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1580,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2154,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1811,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2217,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1505,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2144,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2556,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1651,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1430,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1481,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2099,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1597,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2279,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2395,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1429,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1603,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1649,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1434,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3211,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2945,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1926,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2918,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1353,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2035,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1656,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1744,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2363,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3394,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1580,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2042,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2440,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2329,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1801,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2644,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
4297,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1625,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1665,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1832,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2399,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2243,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1632,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2215,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2444,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2063,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1774,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1880,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1824,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1745,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2092,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2202,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2162,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
