RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5028,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3832,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3373,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5363,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4153,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3935,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4756,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3532,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3778,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4072,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5883,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5159,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3151,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3306,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3451,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4162,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3181,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3749,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3351,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3621,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3075,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4909,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3110,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3306,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3896,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
