RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3174,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2703,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3349,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2594,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3210,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3944,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3214,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2863,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3719,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2839,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3602,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3633,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3043,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2623,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3938,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2702,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3471,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3171,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2592,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2624,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2819,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4770,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3725,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
4611,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2639,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2778,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2375,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2772,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2256,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2641,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2904,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2545,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2527,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2552,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
5017,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2845,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3018,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2857,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2816,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
11804,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
3629,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2584,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2653,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
10845,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
