RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2722,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3028,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6207,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2502,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5637,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6489,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4965,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
11553,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3955,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3855,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3922,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
12142,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5690,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3247,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3200,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2956,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
10089,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4041,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2532,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2985,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4086,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4534,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3066,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4575,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3119,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6119,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3238,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4664,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4501,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4905,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3244,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4356,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3758,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
7698,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5787,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5490,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6332,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3169,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5504,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6798,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
11314,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4268,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
7703,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4149,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
9595,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
6115,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5539,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2631,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4362,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2606,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
