RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4264,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4505,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3653,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4511,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5285,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3488,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3225,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3132,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2961,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3225,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4059,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5234,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
6137,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2742,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4989,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3157,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4332,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4075,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4781,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3099,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4093,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3306,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
5700,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3410,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2929,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2922,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2913,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2801,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
8507,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
6396,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2976,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3275,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3617,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3197,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2928,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3561,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3182,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3237,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3190,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
6043,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3888,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4355,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3354,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3745,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2681,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4541,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2973,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
7319,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3384,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3845,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4807,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4335,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3768,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3107,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3159,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3797,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3366,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4684,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2729,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2975,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2968,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
