RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2572,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3087,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2521,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1908,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2796,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2289,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2124,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1886,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3792,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2385,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2830,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2686,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3121,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2327,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2388,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2900,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2928,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3321,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2921,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1984,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1896,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2460,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2968,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1944,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1745,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2438,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3233,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2609,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1960,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
