RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1882,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1789,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1866,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2404,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3361,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3053,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2526,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2088,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2138,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2277,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3556,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2392,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3678,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5563,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2575,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4506,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3538,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3583,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1756,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3822,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
8225,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
15354,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2636,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4105,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
11477,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
10267,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
10649,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2222,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2016,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2354,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2360,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6724,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1736,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6354,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
1635,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2790,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2125,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3872,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
4671,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
