RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4175,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3404,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2127,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
1978,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4360,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2892,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2755,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2033,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
6055,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
8257,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
8451,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
4264,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3926,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
8424,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
8008,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2476,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
7895,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
