RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2945,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2295,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2375,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5018,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
15037,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2628,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2233,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3023,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2854,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2535,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2577,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
1847,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3164,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6371,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3356,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
2566,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4526,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4946,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
20715,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
7225,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6413,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3589,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
