RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
6704,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1781,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1754,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
3077,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1200,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
914,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
952,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
916,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
896,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
939,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
834,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
906,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
905,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2287,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1679,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
4304,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1082,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1125,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2318,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1220,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
891,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
