RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4490,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3338,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3187,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3021,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6805,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4608,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3287,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4873,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5556,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7837,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13020,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
8035,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3720,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
9254,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6304,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
10071,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5227,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13856,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12300,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
11470,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5491,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5492,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7205,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6071,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5449,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3705,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
14256,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6939,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
17792,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3274,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5727,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4921,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
