RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
5041,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
3445,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2911,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
4174,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2279,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2518,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2382,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2279,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2638,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2110,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1935,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
4541,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2551,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2094,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2166,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2703,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1966,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1894,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2070,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2383,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2111,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
3153,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1974,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1830,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1591,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
1854,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2463,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2166,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
4903,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2694,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
3438,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
4159,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
5023,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
3654,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
3414,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2550,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
2575,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"05/04/2022, 10:25:50"
