RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3813,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3981,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5464,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4479,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4175,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5047,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3461,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3561,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3262,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2981,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4098,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4144,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4177,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4043,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3574,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3158,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3014,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2962,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3560,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3245,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4138,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3467,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4360,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2956,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4048,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4147,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3461,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3287,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3421,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2807,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3265,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4617,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
6090,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5780,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3868,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5730,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5077,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3011,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3357,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4439,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3718,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3031,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
