RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4717,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4278,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5268,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3977,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3412,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4500,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
6544,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3295,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5427,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4398,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3754,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
7083,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4961,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5614,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3216,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5546,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4730,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3759,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
2443,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5266,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5964,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5197,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3255,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5272,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
6183,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
6121,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4007,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5253,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4846,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3487,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
4725,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
2765,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
3965,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5200,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
5013,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5a67676a35f26b000149689d,"05/04/2022, 10:44:12"
