RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
4790,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
5153,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
3930,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
4695,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
3511,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
4473,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
3471,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
5224,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
3441,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
7070,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
3815,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2706,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2411,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2912,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2752,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2414,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2875,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
2687,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2ad6a57b4ac53d460f44d0,"05/04/2022, 10:38:25"
