RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8637,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8702,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9375,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5299,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4042,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7426,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4131,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4853,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3324,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6329,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5366,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7930,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5371,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6261,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4595,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5706,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4231,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8203,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4616,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5060,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3652,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4329,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3462,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5477,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4033,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4216,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3389,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7976,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
